sensor_id,sensor_name,family,source,direct_or_derived,latency,revision_risk,independence,redundancy,row_evidence,regime_dependence,false_positive_mode,false_negative_mode,recommended_role,verdict,confidence,data_quality,notes
S16,Funding/OI/Liq,stress,ingen serie,-,-,MED,-,-,ingen,-,-,-,CONTEXT/stress,NEEDS_MORE_ROWS,-,DATA_MISSING,
S17,CFGI,sentiment,ingen serie,-,-,lav,-,-,ingen,-,ekstrem-fear persisterer i fald,-,CONTEXT,NEEDS_MORE_ROWS,-,DATA_MISSING,
S18,"TechDev/makro (PMI,Copper/Gold)",macro,nyhedsbrev/off. data,direct,uger-mdr lead,lav,HOEJ vs kryptopris,lav,"TD-ledger frossen, uafgjort",cross-cycle pr. natur,tidlig,sen transmission,CONTEXT (zero exec),KEEP(kontekst) + maanedlig kadence,lav-med,DEGRADED,staerkeste uafhaengige ben paa papiret
S19,Likviditetsproxyer,liquidity,UDEFINERET,-,-,-,-,-,ingen,-,-,-,CONTEXT,NEEDS_MORE_ROWS,-,DATA_MISSING,
S20,BASE_DEPTH,rotation-shadow,ratio,derived,0d,lav,JA,delvis DAYS_BELOW,M4/M2: 13/13+3/3 perfekt in-sample,single-regime,overfit-profil,-,SHADOW,SHADOW_ONLY,med,FULL,log hvert kryds
S21,DAYS_BELOW_GATE,rotation-shadow,ratio,derived,0d,lav,restater S20,hoej m. S20,perfekt in-sample,single-regime,overfit,-,SHADOW,SHADOW_ONLY,lav,FULL,
S22,LADDER_COMPLETION,rotation-shadow,ratio,derived,0d,lav,ja,gate-familie,n(real)=1,single-regime,-,-,SHADOW,NEEDS_MORE_ROWS,lav,FULL,
S23,hold_days,rotation,ratio,derived,0d,lav,nej(varighed),-,M4: P(14|3)=4/9; >=14/30 label-cirkulaere,single-regime,-,exit-blind (307d forbi top),CLASSIFICATION-gulv,KEEP(minimum) m. cirkularitets-note,med,FULL,
S24,SIG_A/SIG_B spike-grind,rotation-shadow,ratio,derived,0d,lav,ja,-,definitionsafhaengig; SIG_A afviser real,single-regime,SIG_A flagger real,-,SHADOW dual-log,SIG_A REJECT / SIG_B SHADOW_ONLY,med,FULL,
S25,TRIAD-arbejdsdeling,meta,A/C/D,derived,-,-,-,-,M1/M2: laed/praecisions-split raekkebekraeftet,single-regime,-,-,META,KEEP,hoej,FULL,frameworkets staerkeste raekkefund
S26,F1/F2 + range-baselines + human-adj + shadow-reanchor + RotEngine-ben,div,div,div,-,-,-,-,F2 1/1; ranges NOT_SUPPORTED; adj UNTESTED(alpha); reanchor SHADOW; RotEngine-ben UDEFINEREDE,-,-,-,div,se rapport §3+§5,-,MIXED,RotEngine: Execute-semantik omdoebes
