decision_id,issued_timestamp,effective_horizon,source_type,source_file_or_thread,source_reference,exact_source_excerpt,market_state,urgency_state,warning_state,confirmation_state,pullback_state,rotation_state,rebuy_state,deployment_state,action_label,portfolio_language_used,btc_range_if_present,eth_range_if_present,invalidators,confidence,data_quality,retrospective_or_live,eligible_for_M3,duplicate_hash,source_status,notes
D20260710_WATCH_0439,2026-07-10T04:39:00Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-10T04:39:00Z / DATA_PING_HYBRID_v0_5_1_20260710T043900Z,"sensor_edge_candidate: WATCH_FADING; framework_accepted_state: WATCH; alert_status: RESOLVING.",WATCH,RESOLVING,7D_NOT_CONFIRMED,FRAMEWORK_ACCEPTED,WATCH,NOT_CONFIRMED,LOCKED,UNKNOWN,MONITOR,NO,63541.63,1787.00,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,ef71b0791912a4cc05ed,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260710_WATCH_0945,2026-07-10T09:45:53Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-10T09:45:53Z / DATA_PING_HYBRID_v0_5_1_20260710T094553Z,"sensor_edge_candidate: WATCH_FADING; framework_accepted_state: WATCH; alert_status: RESOLVING.",WATCH,RESOLVING,7D_NOT_CONFIRMED,FRAMEWORK_ACCEPTED,WATCH,NOT_CONFIRMED,LOCKED,UNKNOWN,MONITOR,NO,63616.65,1789.15,,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,dd466ca472c30f27c524,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260710_WATCH_1159,2026-07-10T11:59:38Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-10T11:59:38Z / DATA_PING_HYBRID_v0_5_1_20260710T115938Z,"sensor_edge_candidate: WATCH; framework_edge_state_baseline: WATCH; alert_status: RESOLVING; new_alert: NO.",WATCH,RESOLVING,7D_BREADTH_WEAK,FRAMEWORK_PENDING,WATCH,NOT_DETERMINED,,UNKNOWN,MONITOR,NO,63774.48,1792.13,,MEDIUM,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,4520c1af5872733899a4,OFFLINE_GITHUB_SNAPSHOT_BACKED,Machine state only; framework baseline remained WATCH. | Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260710_WATCH_1729,2026-07-10T17:29:31Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-10T17:29:31Z / DATA_PING_HYBRID_v0_5_1_20260710T172931Z,"sensor_edge_candidate: WATCH; framework_accepted_state: WATCH; alert_status: RESOLVING; accepted retrospectively as unchanged WATCH / RESOLVING evidence.",WATCH,RESOLVING,7D_BREADTH_WEAK,FRAMEWORK_ACCEPTED_RETROSPECTIVE,WATCH,NOT_DETERMINED,,UNKNOWN,MONITOR,NO,63947.25,1794.11,,MEDIUM,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,NO,981b477aa71ee8fb979d,OFFLINE_GITHUB_SNAPSHOT_BACKED,Alert lineage field was corrected from WATCH to RESOLVING in a later correction log. | Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip. Framework acceptance is explicitly retrospective; excluded from M3 eligibility.
D20260710_WATCH_1942,2026-07-10T19:42:43Z,INTRADAY_1-3D,DATA_PING,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-10T19:42:43Z / DATA_PING_HYBRID_v0_5_1_20260710T194243Z,"sensor_edge_candidate: WATCH; framework_accepted_state: WATCH; alert_status: RESOLVING; new_alert: NO.",RECLAIM_HOLD_TEST,RESOLVING,,FRAMEWORK_PENDING,WATCH,, ,UNKNOWN,MONITOR,NO,63999.99,1796.90,,MEDIUM,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,86c9705ce915911f51de,OFFLINE_GITHUB_SNAPSHOT_BACKED,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260710_FIRST_CLOSE_2233,2026-07-10T22:33:53Z,1-3D,DATA_PING,DATA_PING thread,DATA_PING_HYBRID_v0_5_1_20260710T223353Z,"BTC first daily close above 63.3K; sensor remains WATCH / RESOLVING.",POST_RECLAIM_FIRST_DAILY_CLOSE,RESOLVING,LONGER_BREADTH_UNCONFIRMED,RAW_CLOSE_CONFIRMED,WATCH,NOT_DETERMINED,,UNKNOWN,MONITOR,NO,64011.99_CLOSE,1794.37_CLOSE,,MEDIUM,PRIOR_THREAD_DERIVED_ARTIFACT_ONLY,LIVE,NO,f618f09d8b5e3058a1de,INACCESSIBLE_PRIOR_THREAD,Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible.
D20260710_FRAMEWORK_ACCEPT_2334,2026-07-10T23:34:05Z,THROUGH_72H,MAIN_FRAMEWORK_FEEDBACK,02_DATA_PING/live_state_handover/2026-07-08__pullback-edge-20260708-01__event-ledger.md,State transition ledger — 2026-07-10T23:34:05Z / DATA_PING_HYBRID_v0_5_1_20260710T233405Z,"framework_accepted_state: WATCH; alert_status: RESOLVING; framework_acceptance_status: ACCEPTED; event_close_candidate: YES_AFTER_72H_MATURITY_IF_NO_REESCALATION.",POST_RECLAIM_HOLD,RESOLVING,7D_BREADTH_WEAK,FRAMEWORK_ACCEPTED,WATCH,NO_ROTATION,LOCKED,UNKNOWN,NO_ACTIVE_TRIM,YES,64185.23,1795.46,REESCALATION_BEFORE_72H,HIGH,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,4309e7dd04ac90dcf969,OFFLINE_GITHUB_SNAPSHOT_BACKED,Event close candidate only after 72H maturity if no re-escalation. | Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260711_72H_SENSOR_1433,2026-07-11T14:33:24Z,72H,DATA_PING,02_DATA_PING/live_state_handover/2026-07-10__active-gate-and-edge-event-registry__canonical.md,Current-run acceptance packet — DATA_PING_HYBRID_v0_5_1_20260711T143324Z,"accepted_sensor_state: WATCH; accepted_sensor_alert_status: RESOLVING; framework_post_review_edge_state: NONE; framework_post_review_alert_status: CLOSED.",POST_RECLAIM_HOLD,EVENT_CLOSE_REVIEW,7D_BREADTH_NOT_CONFIRMED,FRAMEWORK_PENDING,WATCH,NOT_DETERMINED,,UNKNOWN,ESCALATE_EVENT_CLOSE_REVIEW,NO,64414.78,1806.99,,MEDIUM,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE,YES,cc71ee529acb059f6479,OFFLINE_GITHUB_SNAPSHOT_BACKED,Outcome fields intentionally absent from decision ledger. | Underlying original decision/run content is not readable in this thread. Row retained only from the re-uploaded prior-thread derived ledger; not M3-eligible. | Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip.
D20260710_CN15_PREPUBLICATION,2026-07-10T11:25:51Z,WEEK_2026-07-13_TO_2026-07-19_PRE_FREEZE,CYCLE_NAVIGATOR,CN15 INTERNAL MASTER PACKET.pdf,"RUN_ID CN15_FRLP_FWD_20260710; sections 7, 13 and 14","Official CN #15 candidate is DUMB_1.5 on the freeze anchor; publication only after ChatGPT ratification. Group F rows remain PRE_FREEZE_CANDIDATE.",POST_FLUSH_REPAIR_RANGE,NO_A_URGENCY,D2_CONTEXT_ACTIVE,PRE_FREEZE_CANDIDATE,NORMAL_RANGE,EARLY_ROTATION_WATCH_CANDIDATE,NOT_STATED,NOT_STATED,PRE_FREEZE_CANDIDATE_NO_PUBLICATION,NO,59890-66460_PROVISIONAL,1628-1860_PROVISIONAL,"SETTLED_CLOSE_LT_61163; ETHBTC_CLOSE_LT_0.0265; ETF_5_PRINT_NET_LT_-500M",NORMAL,SOURCE_BACKED_FILE_METADATA_TIMESTAMP,PRE_PUBLICATION,NO,798d5a722aea24e0a962,SOURCE_BACKED,Actual PDF content is accessible in File Library. issued_timestamp uses File Library created-at metadata, not an internal issuance timestamp; row is therefore excluded from M3 eligibility.
D20260710_CYCLE_MASTER_CURRENT_REFERENCE,2026-07-10T13:44:13Z,CURRENT_REFERENCE,CHIEF_STATE,Cycle Master Engine – Full Execution Framework v1.0 (Canonical).txt,Section 24 CURRENT MARKET STATE (REFERENCE),"Phase: Late Bottoming; Acceleration: LOW; Rotation: NO; Liquidity: building slowly; interpretation: stealth accumulation, not ignition yet.",LATE_BOTTOMING_REFERENCE,NOT_STATED,NOT_STATED,NOT_IGNITION,NOT_STATED,NO_REFERENCE,NOT_STATED,NOT_STATED,REFERENCE_STATE_NOT_ISSUED,YES_SOURCE_QUOTE,,,,NOT_STATED,SOURCE_BACKED_FILE_METADATA_TIMESTAMP,REFERENCE,NO,054cd99f6fe201b83c28,SOURCE_BACKED,Actual text file is accessible. The section is explicitly labelled REFERENCE and has no internal issuance timestamp; no rule or action is ratified here.
D20260711_ULTIMATE_ATTACK_AUDIT,2026-07-11T16:15:09Z,AUDIT_DESIGN,AUDIT,ULTIMATE ATTACK REPORT 2026-07-10.pdf,"RUN_ID FABLE_ULTIMATE_ATTACK_20260710; executive verdict and final recommendation","CURRENT_FRAMEWORK_WINS_AFTER_PRUNING; no component is promoted by this report. First measurement point is eight scored FRL weeks.",NOT_A_MARKET_CALL,NOT_APPLICABLE,M3_BLOCKED_MISSING_LEDGER,NO_COMPONENT_PROMOTED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AUDIT_ONLY_NO_RATIFICATION,NO,,,,74_OF_100_AUDIT,SOURCE_BACKED_FILE_METADATA_TIMESTAMP,AUDIT,NO,f5fb32186d4913f17997,SOURCE_BACKED,Actual PDF content is accessible in File Library. This is an audit/design record, not a point-in-time market decision.
D20260711_EVENT_CLOSE_1433,2026-07-11T14:33:24Z,EVENT_CLOSE_72H,MAIN_FRAMEWORK_EVENT_CLOSE,02_DATA_PING/live_state_handover/2026-07-11__pullback-edge-20260708-01__72h-event-close-receipt.md,EVENT_CLOSE_ROW / decision_time 2026-07-11T14:33:24Z,"final_event_status: CLOSED_RESOLVED; final_framework_edge_state_for_event: NONE; final_alert_status: CLOSED; active_trim_signal: NO; portfolio_action_change: NONE.",EVENT_CLOSED_RESOLVED,NONE,BROAD_RECOVERY_NOT_CONFIRMED,72H_MATURED_ACCEPTED,CLOSED_RESOLVED,NO_ROTATION,LOCKED,WATCH_ONLY_NOT_OPEN,NO_NEW_ACTION_EVENT_CLOSE,YES,"REFERENCE_61784.48; 72H_LOW_61544.56; 72H_HIGH_64692.83; 72H_CLOSE_64248.00",,"A later deterioration requires a new main-framework event ID; closed event may not be silently reopened.",MEDIUM,SOURCE_BACKED_PRIVATE_GITHUB_CANONICAL_FILE,LIVE_FRAMEWORK_DECISION_AT_REVIEW,YES,81e4b8a1c3401b656b11,OFFLINE_GITHUB_SNAPSHOT_BACKED,Actual private-GitHub source content is included in INVESTERING_PRIVATE_GITHUB_TARGETED_EXPORT_20260712.zip. Event closure does not mean recovery, rotation, rebuy or deployment confirmation.
